job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
Admin / Support,Accounting,4-5,Selangor,7250.0
General - Administration,Administration And Office Support,4-5,Selangor,2550.0
Secretary / Personal Assistant,Administration And Office Support,4-5,Johor,6000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,3600.0
General - Accounting,Accounting,1-3,Kuala Lumpur,4000.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Selangor,3500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Melaka,2000.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Selangor,4200.0
HR / Recruitment Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,5250.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,4050.0
HR Executive,Human Resources And Recruitment,Intern/<1,Johor,2500.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,3200.0
Management / Leadership,Sales,1-3,Kuala Lumpur,1848.0
General - Administration,Administration And Office Support,1-3,Johor,4375.0
Internship - Administration,Administration And Office Support,1-3,Kuala Lumpur,1100.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Pahang,1900.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,3750.0
Admin / Support,Accounting,1-3,Negeri Sembilan,4750.0
HR Admin / Support,Human Resources And Recruitment,1-3,Kuala Lumpur,6000.0
Technician,Engineering,1-3,Selangor,2050.0
Technician,Engineering,1-3,Kuala Lumpur,2650.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,2700.0
Management / Leadership,Sales,6-10,Selangor,10000.0
General - Accounting,Accounting,4-5,Selangor,4500.0
General - Accounting,Accounting,1-3,Selangor,2250.0
General - Accounting,Accounting,1-3,Selangor,3000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2250.0
General - Accounting,Accounting,1-3,Kuala Lumpur,3150.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Kuala Lumpur,5750.0
General - Engineering,Engineering,1-3,Sabah,3000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,3800.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,3400.0
Engineer,Engineering,1-3,Selangor,1250.0
HR / Recruitment Executive,Human Resources And Recruitment,Intern/<1,Johor,3700.0
General - IT,Information And Communication Technology,1-3,Perak,7450.0
General - Accounting,Accounting,1-3,Selangor,3600.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2450.0
IT Support / Service Desk,Information And Communication Technology,1-3,Kuala Lumpur,2500.0
Admin / Support,Engineering,Intern/<1,Selangor,2950.0
Admin / Support,Accounting,4-5,Selangor,3510.0
General - Accounting,Accounting,1-3,Sabah,4150.0
General - Accounting,Accounting,1-3,Selangor,3250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2400.0
General - Accounting,Accounting,Intern/<1,Johor,4250.0
General - Administration,Administration And Office Support,Intern/<1,Johor,2650.0
General - Engineering,Engineering,Intern/<1,Selangor,3250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Penang,3150.0
Operations / Service Coordinator,Administration And Office Support,Intern/<1,Selangor,2650.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2300.0
HR Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,6750.0
General - Engineering,Engineering,1-3,Negeri Sembilan,5000.0
General - Accounting,Accounting,4-5,Johor,2400.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",4-5,Kuala Lumpur,4500.0
General - Accounting,Accounting,1-3,Kuala Lumpur,2750.0
Admin / Support,Accounting,Intern/<1,Selangor,2600.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kuala Lumpur,4250.0
Data Entry / Document Control,Administration And Office Support,1-3,Perak,2750.0
Software Developer,Information And Communication Technology,1-3,Penang,6250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3000.0
HR Executive,Human Resources And Recruitment,6-10,Kuala Lumpur,7500.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,4250.0
General - Engineering,Engineering,6-10,Penang,12500.0
Engineer,Engineering,1-3,Perak,5000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,2150.0
General - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,9250.0
Data Entry / Document Control,Administration And Office Support,1-3,Johor,2550.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,2350.0
