job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
Internship - Engineering,Engineering,1-3,Selangor,1050.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",Intern/<1,Melaka,2600.0
Management / Project Management - Construction,Construction,1-3,Johor,6000.0
General - Administration,Administration And Office Support,1-3,Johor,2400.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,2600.0
Software Developer,Information And Communication Technology,1-3,Selangor,4600.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,7500.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,3850.0
Engineer,Engineering,4-5,Penang,15000.0
Engineer,Engineering,1-3,Penang,3500.0
General - Engineering,Engineering,1-3,Kuala Lumpur,14250.0
General - Accounting,Accounting,4-5,Selangor,4350.0
General - Administration,Administration And Office Support,1-3,Selangor,2650.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kuala Lumpur,4650.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Penang,7100.0
Customer Service / Customer Support,Administration And Office Support,Intern/<1,Kuala Lumpur,3100.0
Engineer,Engineering,1-3,Johor,6700.0
General - Accounting,Accounting,4-5,Selangor,4050.0
Accountant / Full Set Accounting,Accounting,1-3,Johor,5500.0
Admin / Support,Accounting,Intern/<1,Johor,2600.0
General - Accounting,Accounting,1-3,Penang,2450.0
Support / Operations / Coordination,Sales,1-3,Kuala Lumpur,3250.0
Secretary / Personal Assistant,Administration And Office Support,Intern/<1,Selangor,6000.0
Admin / Support,Accounting,1-3,Perak,2000.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Selangor,3300.0
Management / Project Management - Construction,Construction,4-5,Labuan,17500.0
General - IT,Information And Communication Technology,1-3,Johor,2500.0
Logistics & Shipping,"Manufacturing, Transport And Logistics",1-3,Selangor,2750.0
Accountant / Full Set Accounting,Accounting,4-5,Penang,5000.0
General - Accounting,Accounting,6-10,Kuala Lumpur,3750.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,3750.0
Secretary / Personal Assistant,Administration And Office Support,4-5,Selangor,5500.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Perak,3250.0
HR / Recruitment Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,3750.0
General - IT,Information And Communication Technology,4-5,Selangor,5500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Melaka,2150.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,3200.0
General - IT,Information And Communication Technology,4-5,Selangor,7000.0
General - Engineering,Engineering,Intern/<1,Pahang,3750.0
IT Support / Service Desk,Information And Communication Technology,1-3,Selangor,5600.0
HR Executive,Human Resources And Recruitment,4-5,Penang,8000.0
Accountant / Full Set Accounting,Accounting,1-3,Selangor,4000.0
General - Accounting,Accounting,Intern/<1,Negeri Sembilan,4166.5
Administrative / Assistance,Sales,1-3,Penang,26187.500000000004
Admin / Support,Accounting,1-3,Kuala Lumpur,4350.0
General - Administration,Administration And Office Support,4-5,Johor,5750.0
Procurement & Purchasing,"Manufacturing, Transport And Logistics",1-3,Kedah,5000.0
General - Accounting,Accounting,1-3,Selangor,17807.5
Operations / Production,Engineering,1-3,Terengganu,1950.0
General - Administration,Administration And Office Support,1-3,Selangor,2550.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Pahang,2900.0
Software Developer,Information And Communication Technology,4-5,Kuala Lumpur,37710.0
Engineer,Engineering,4-5,Selangor,4200.0
Engineer,Engineering,1-3,Penang,4150.0
Recruitment Consultant / Recruiter,Human Resources And Recruitment,4-5,Johor,3400.0
General - Administration,Administration And Office Support,Intern/<1,Kuala Lumpur,2850.0
General - IT,Information And Communication Technology,1-3,Selangor,5175.0
HR Admin / Support,Human Resources And Recruitment,1-3,Selangor,6050.0
General - IT,Information And Communication Technology,4-5,Kuala Lumpur,4750.0
General - Accounting,Accounting,6-10,Perak,2850.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,12000.0
General - Engineering,Engineering,Intern/<1,Selangor,2250.0
General - Administration,Administration And Office Support,1-3,Penang,6250.0
Personal / Retail Banking,Banking And Financial Services,1-3,Selangor,3250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,3250.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,3250.0
Management / Leadership,Sales,1-3,Kuala Lumpur,8000.0
General - Sales,Sales,1-3,Selangor,6000.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,3400.0
Analyst / Data / Reporting,Banking And Financial Services,1-3,Kuala Lumpur,3500.0
Admin / Support,Accounting,4-5,Negeri Sembilan,30377.500000000004
General - Manufacturing & Logistics,"Manufacturing, Transport And Logistics",1-3,Johor,2750.0
Engineer,Engineering,Intern/<1,Penang,4200.0
Engineer,Engineering,1-3,Johor,10000.0
Tax / Compliance,Accounting,Intern/<1,Johor,3550.0
Admin / Support,Accounting,1-3,Selangor,5250.0
Supply Chain & Planning,"Manufacturing, Transport And Logistics",Intern/<1,Penang,2750.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Melaka,3000.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,8750.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kuala Lumpur,3050.0
General - Accounting,Accounting,6-10,Selangor,4500.0
Engineer,Engineering,1-3,Johor,3450.0
General - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,4175.0
Manufacturing Management,"Manufacturing, Transport And Logistics",1-3,Penang,12500.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Penang,4750.0
Management / Leadership,Sales,4-5,Selangor,9000.0
Financial Planning / Advisor,Banking And Financial Services,1-3,Selangor,6666.5
HR Executive,Human Resources And Recruitment,1-3,Johor,2600.0
General - Administration,Administration And Office Support,1-3,Sabah,3400.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,1250.0
Engineer,Engineering,Intern/<1,Kuala Lumpur,3750.0
Admin / Support,Accounting,1-3,Johor,6000.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,Intern/<1,Selangor,5500.0
Admin / Support,Accounting,1-3,Sabah,2000.0
Technicians / Skilled Trades,Trades And Services,Intern/<1,Selangor,2000.0
General - Sales,Sales,1-3,Selangor,4000.0
Cybersecurity Specialist,Information And Communication Technology,1-3,Kuala Lumpur,7000.0
Software Developer,Information And Communication Technology,1-3,Johor,4500.0
Financial Planning / Advisor,Banking And Financial Services,Intern/<1,Kuala Lumpur,3750.0
Admin / Support,Accounting,Intern/<1,Selangor,2550.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,4050.0
General - Administration,Administration And Office Support,1-3,Selangor,2900.0
Management / Project Management - Construction,Construction,10+,Selangor,12000.0
Personal / Retail Banking,Banking And Financial Services,1-3,Kuala Lumpur,3250.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,1200.0
General - Accounting,Accounting,6-10,Selangor,11000.0
Receptionist / Front Desk,Administration And Office Support,Intern/<1,Selangor,2816.0
General - Accounting,Accounting,1-3,Kuala Lumpur,2150.0
Technician,Engineering,Intern/<1,Negeri Sembilan,2100.0
Management / Project Management - Construction,Construction,1-3,Kuala Lumpur,4250.0
Internship - IT,Information And Communication Technology,1-3,Kuala Lumpur,600.0
General - IT,Information And Communication Technology,1-3,Johor,2749.5
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,2500.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,1-3,Kuala Lumpur,4050.0
Admin / Support,Engineering,Intern/<1,Johor,4400.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,4150.0
General - Banking & Finance,Banking And Financial Services,6-10,Kuala Lumpur,11500.0
Accountant / Full Set Accounting,Accounting,1-3,Penang,3550.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Selangor,3400.0
General - Accounting,Accounting,6-10,Selangor,46090.00000000001
Supervisor / Foreman,Engineering,1-3,Penang,1950.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Kuala Lumpur,2150.0
General - Sales,Sales,Intern/<1,Selangor,4500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Penang,2300.0
IT Support / Service Desk,Information And Communication Technology,1-3,Kuala Lumpur,6000.0
Admin / Assistant / Support,Banking And Financial Services,1-3,Kuala Lumpur,3750.0
Software Developer,Information And Communication Technology,1-3,Selangor,6000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,2700.0
Company Secretary,Ceo And General Management,6-10,Kuala Lumpur,18000.0
Audit / Internal Audit,Accounting,Intern/<1,Selangor,3300.0
General - Engineering,Engineering,6-10,Penang,25000.0
General - Accounting,Accounting,1-3,Johor,4150.0
IT Business / System Analyst,Information And Communication Technology,4-5,Selangor,6500.0
Human Capital / People Services,Human Resources And Recruitment,1-3,Selangor,6000.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,1-3,Kuala Lumpur,5040.0
Admin Assistant / Clerk,Administration And Office Support,10+,Johor,2600.0
Safety / Qa / Compliance,Engineering,1-3,Others,5000.0
Social Media / Digital,"Advertising, Arts And Media",1-3,Kuala Lumpur,6000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,3823.5
General - IT,Information And Communication Technology,Intern/<1,Selangor,2800.0
IT Support / Service Desk,Information And Communication Technology,4-5,Sabah,3500.0
Admin Assistant / Clerk,Administration And Office Support,4-5,Kuala Lumpur,6750.0
Admin / Support - Ceo And General Management,Ceo And General Management,1-3,Kuala Lumpur,17500.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kedah,4250.0
Drafting / Cad / Bim,Engineering,4-5,Kuala Lumpur,5500.0
General - Accounting,Accounting,1-3,Selangor,7500.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",4-5,Johor,28282.500000000004
Management / Project Management - Construction,Construction,6-10,Kuala Lumpur,7500.0
General - Sales,Sales,4-5,Selangor,5000.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Johor,2400.0
Executive - Ceo And General Management,Ceo And General Management,1-3,Kuala Lumpur,17500.0
HR Executive,Human Resources And Recruitment,1-3,Johor,4250.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Johor,3500.0
IT Manager,Information And Communication Technology,1-3,Kuala Lumpur,7000.0
Management / Project Management - Construction,Construction,4-5,Selangor,3900.0
Audit / Internal Audit,Accounting,Intern/<1,Sabah,2150.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,4125.0
General - Engineering,Engineering,1-3,Selangor,6250.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,3050.0
General - Accounting,Accounting,1-3,Selangor,4900.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,1000.0
HR Executive,Human Resources And Recruitment,1-3,Johor,3400.0
General - Accounting,Accounting,6-10,Johor,18000.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,3500.0
Investment / Capital Markets,Banking And Financial Services,1-3,Kuala Lumpur,4000.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Selangor,2250.0
Accounts Receivable,Accounting,1-3,Selangor,4250.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Selangor,4000.0
Project / Planning / Coordination,Engineering,1-3,Johor,11500.0
Executive - Ceo And General Management,Ceo And General Management,6-10,Selangor,25000.0
Management / Project Management - Construction,Construction,1-3,Kelantan,9600.0
General - Accounting,Accounting,1-3,Others,4250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,2550.0
Engineer,Engineering,4-5,Selangor,4150.0
Secretary / Personal Assistant,Administration And Office Support,Intern/<1,Kuala Lumpur,3000.0
General - Administration,Administration And Office Support,1-3,Selangor,4500.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Penang,2750.0
Direct Sales / Advisors / Consultants,Sales,1-3,Kuala Lumpur,4500.0
Audit / Internal Audit,Accounting,1-3,Selangor,3900.0
General - Banking & Finance,Banking And Financial Services,1-3,Selangor,11000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,3125.0
Admin / Support,Accounting,Intern/<1,Penang,2950.0
Internship - Accounting,Accounting,1-3,Kuala Lumpur,1000.0
General - Accounting,Accounting,Intern/<1,Johor,5000.0
General - Engineering,Engineering,1-3,Sarawak,20000.0
Management / Project Management - Construction,Construction,6-10,Perak,14400.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,1-3,Kuala Lumpur,7000.0
Analyst / Data / Reporting,Banking And Financial Services,1-3,Kuala Lumpur,3050.0
General - Accounting,Accounting,1-3,Kuala Lumpur,17500.0
Supply Chain & Planning,"Manufacturing, Transport And Logistics",1-3,Johor,3500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3125.0
Internship - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,850.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,5150.0
General - Accounting,Accounting,1-3,Penang,2600.0
Software Developer,Information And Communication Technology,4-5,Kuala Lumpur,5000.0
Engineer,Engineering,1-3,Kuala Lumpur,5500.0
General - IT,Information And Communication Technology,1-3,Johor,3850.0
Qa / Software Testing Specialist,Information And Communication Technology,Intern/<1,Selangor,4250.0
Engineer,Engineering,1-3,Penang,3125.0
Internship - Administration,Administration And Office Support,1-3,Selangor,1750.0
Audit / Internal Audit,Accounting,1-3,Selangor,4250.0
General - Accounting,Accounting,1-3,Negeri Sembilan,10000.0
Engineer,Engineering,4-5,Johor,5000.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Selangor,2750.0
Internship - IT,Information And Communication Technology,Intern/<1,Selangor,3750.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,4300.0
Engineer,Engineering,1-3,Johor,5250.0
General - Accounting,Accounting,Intern/<1,Selangor,4050.0
Engineer,Engineering,1-3,Pahang,3250.0
General - Sales,Sales,1-3,Johor,3000.0
Drafting / Cad / Bim,Engineering,Intern/<1,Selangor,2400.0
Technician,Engineering,Intern/<1,Perak,2100.0
Logistics & Shipping,"Manufacturing, Transport And Logistics",1-3,Johor,4250.0
General - Design & Architecture,Design And Architecture,1-3,Kuala Lumpur,4650.0
General - Accounting,Accounting,Intern/<1,Penang,3400.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Selangor,6000.0
HR Executive,Human Resources And Recruitment,Intern/<1,Kuala Lumpur,3000.0
General - Accounting,Accounting,1-3,Perak,3050.0
General - Accounting,Accounting,1-3,Kuala Lumpur,850.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,8350.0
General - Administration,Administration And Office Support,Intern/<1,Selangor,2250.0
General - Administration,Administration And Office Support,1-3,Penang,2200.0
General - Sales,Sales,4-5,Selangor,3750.0
General - Engineering,Engineering,1-3,Selangor,2100.0
Customer Service / Customer Support,Administration And Office Support,1-3,Selangor,3100.0
Engineer,Engineering,1-3,Melaka,4600.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Penang,2150.0
Admin / Support,Engineering,Intern/<1,Johor,2400.0
General - Administration,Administration And Office Support,1-3,Johor,2250.0
General - Accounting,Accounting,1-3,Perak,3500.0
General - Accounting,Accounting,4-5,Johor,3850.0
General - Accounting,Accounting,6-10,Kuala Lumpur,12000.0
General - Ceo And General Management,Ceo And General Management,1-3,Kuala Lumpur,3500.0
Engineer,Engineering,Intern/<1,Johor,4250.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,5250.0
General - Accounting,Accounting,1-3,Selangor,46090.00000000001
Audit / Internal Audit,Accounting,1-3,Sarawak,5000.0
Internship - Accounting,Accounting,Intern/<1,Kuala Lumpur,500.0
Secretary / Personal Assistant,Administration And Office Support,4-5,Kuala Lumpur,7500.0
Financial Controller,Accounting,4-5,Selangor,6750.0
HR Executive,Human Resources And Recruitment,1-3,Negeri Sembilan,4250.0
Admin / Support,Engineering,1-3,Penang,3000.0
Engineer,Engineering,1-3,Johor,3166.5
HR Executive,Human Resources And Recruitment,1-3,Penang,4800.0
General - Accounting,Accounting,1-3,Selangor,2100.0
HR / Recruitment Manager,Human Resources And Recruitment,4-5,Selangor,11000.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Selangor,5000.0
HR Executive,Human Resources And Recruitment,Intern/<1,Kuala Lumpur,3150.0
General - Accounting,Accounting,4-5,Johor,9000.0
Engineer,Engineering,Intern/<1,Selangor,4000.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Johor,2650.0
Admin / Support,Accounting,1-3,Melaka,1916.5
Audit / Internal Audit,Accounting,Intern/<1,Selangor,4250.0
Account / Relationship / Client Management,Sales,Intern/<1,Kuala Lumpur,4250.0
Software Developer,Information And Communication Technology,1-3,Selangor,3500.0
Management / Project Management - Construction,Construction,1-3,Selangor,5650.0
Administrative / Assistance,Sales,1-3,Kuala Lumpur,5700.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Selangor,5500.0
General - Accounting,Accounting,6-10,Selangor,5006.75
General - Banking & Finance,Banking And Financial Services,Intern/<1,Johor,1250.0
Engineer,Engineering,Intern/<1,Negeri Sembilan,2400.0
Executive - Ceo And General Management,Ceo And General Management,4-5,Penang,45000.0
Admin / Support,Accounting,4-5,Penang,2950.0
HR Executive,Human Resources And Recruitment,Intern/<1,Selangor,4750.0
IT Business / System Analyst,Information And Communication Technology,1-3,Johor,5900.0
General - Banking & Finance,Banking And Financial Services,4-5,Kuala Lumpur,9500.0
General - Accounting,Accounting,1-3,Selangor,4400.0
Facilities / Plant Maintenance,Engineering,6-10,Johor,12500.0
HR Executive,Human Resources And Recruitment,1-3,Kedah,2050.0
Technician,Engineering,1-3,Kuala Lumpur,14246.000000000002
Software Developer,Information And Communication Technology,4-5,Kuala Lumpur,9000.0
General - Accounting,Accounting,4-5,Kuala Lumpur,7000.0
Engineer,Engineering,1-3,Selangor,3150.0
Internship - Banking & Finance,Banking And Financial Services,1-3,Selangor,950.0
Receptionist / Front Desk,Administration And Office Support,1-3,Selangor,2650.0
Cybersecurity Specialist,Information And Communication Technology,1-3,Selangor,950.0
HR Executive,Human Resources And Recruitment,1-3,Penang,2750.0
Financial Planning / Advisor,Banking And Financial Services,Intern/<1,Sabah,2500.0
General - IT,Information And Communication Technology,1-3,Sarawak,1850.0
General - IT,Information And Communication Technology,1-3,Penang,850.0
IT Manager,Information And Communication Technology,6-10,Sarawak,12500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,1050.0
Software Developer,Information And Communication Technology,4-5,Kuala Lumpur,12500.0
Technician,Engineering,4-5,Selangor,4750.0
HR Admin / Support,Human Resources And Recruitment,1-3,Kuala Lumpur,3850.0
General - Engineering,Engineering,4-5,Kuala Lumpur,7500.0
Admin / Support,Accounting,1-3,Selangor,42947.50000000001
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Pahang,2250.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Kuala Lumpur,3750.0
HR Executive,Human Resources And Recruitment,4-5,Penang,6000.0
Safety / Qa / Compliance,Engineering,4-5,Johor,4000.0
General - Accounting,Accounting,6-10,Kuala Lumpur,5850.0
Engineer,Engineering,1-3,Others,3400.0
Management / Leadership,Sales,4-5,Selangor,11000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,2916.5
IT Support / Service Desk,Information And Communication Technology,1-3,Selangor,4210.0
Technician,Engineering,1-3,Johor,2400.0
Direct Sales / Advisors / Consultants,Sales,1-3,Selangor,3350.0
General - IT,Information And Communication Technology,1-3,Penang,4750.0
General - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,2750.0
Engineer,Engineering,1-3,Selangor,5250.0
Administrator / Office Executive,Administration And Office Support,1-3,Selangor,4350.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,900.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,2350.0
Admin / Support,Accounting,4-5,Selangor,8000.0
Engineer,Engineering,Intern/<1,Johor,2400.0
Manufacturing Management,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,4500.0
HR Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,6000.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,2350.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Kuala Lumpur,3400.0
Admin / Assistant / Support,Banking And Financial Services,1-3,Kuala Lumpur,5500.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Selangor,4150.0
Personal / Retail Banking,Banking And Financial Services,Intern/<1,Kuala Lumpur,6250.0
General - Accounting,Accounting,Intern/<1,Melaka,3750.0
General - Administration,Administration And Office Support,Intern/<1,Sabah,2850.0
General - Accounting,Accounting,1-3,Penang,8000.0
HR Executive,Human Resources And Recruitment,1-3,Johor,2450.0
Operations / Back Office,Banking And Financial Services,10+,Kuala Lumpur,12220.833333333334
Management / Project Management - Construction,Construction,1-3,Terengganu,5750.0
Engineer,Engineering,1-3,Selangor,21000.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,700.0
General - Accounting,Accounting,1-3,Putrajaya,3150.0
Admin / Assistant / Support,Banking And Financial Services,1-3,Selangor,4000.0
Admin / Support,Accounting,1-3,Selangor,900.0
General - Accounting,Accounting,1-3,Kuala Lumpur,9000.0
Receptionist / Front Desk,Administration And Office Support,1-3,Kuala Lumpur,3250.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kuala Lumpur,1050.0
General - Accounting,Accounting,Intern/<1,Penang,3100.0
General - Administration,Administration And Office Support,10+,Selangor,2900.0
HR Admin / Support,Human Resources And Recruitment,1-3,Kuala Lumpur,7250.0
General - Accounting,Accounting,Intern/<1,Melaka,2650.0
HR Executive,Human Resources And Recruitment,1-3,Negeri Sembilan,10500.0
Accountant / Full Set Accounting,Accounting,1-3,Kelantan,1850.0
IT Support / Service Desk,Information And Communication Technology,1-3,Selangor,4750.0
IT Manager,Information And Communication Technology,6-10,Kuala Lumpur,23000.0
Drafting / Cad / Bim,Engineering,4-5,Johor,3350.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Sarawak,4000.0
HR Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,6250.0
HR Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,8500.0
Software Developer,Information And Communication Technology,1-3,Selangor,5000.5
Admin / Support,Accounting,1-3,Kuala Lumpur,6250.0
Cybersecurity Specialist,Information And Communication Technology,1-3,Kuala Lumpur,1050.0
IT Business / System Analyst,Information And Communication Technology,Intern/<1,Selangor,5400.0
Company Secretary,Accounting,1-3,Kuala Lumpur,2600.0
Audit / Internal Audit,Accounting,4-5,Selangor,6750.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Selangor,3500.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,9000.0
Audit / Internal Audit,Accounting,4-5,Kuala Lumpur,5250.0
Engineer,Engineering,4-5,Johor,13500.0
General - Banking & Finance,Banking And Financial Services,1-3,Selangor,3250.0
Accountant / Full Set Accounting,Accounting,1-3,Selangor,3250.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,2625.0
Operations / Production,Engineering,4-5,Melaka,29250.0
General - Administration,Administration And Office Support,1-3,Selangor,1250.0
General - Banking & Finance,Banking And Financial Services,1-3,Kuala Lumpur,3350.0
General - Banking & Finance,Banking And Financial Services,1-3,Selangor,2250.0
General - Sales,Sales,4-5,Selangor,6750.0
General - Administration,Administration And Office Support,Intern/<1,Selangor,3850.0
General - Sales,Sales,1-3,Selangor,21997.500000000004
IT Manager,Information And Communication Technology,6-10,Penang,12500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3400.0
General - Accounting,Accounting,1-3,Selangor,799.5
Software Developer,Information And Communication Technology,1-3,Johor,2750.0
General - Accounting,Accounting,1-3,Perak,2950.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Johor,3500.0
General - Accounting,Accounting,4-5,Kuala Lumpur,6750.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Kuala Lumpur,4500.0
Secretary / Personal Assistant,Administration And Office Support,4-5,Selangor,5400.0
IT Support / Service Desk,Information And Communication Technology,Intern/<1,Kuala Lumpur,4000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Johor,2600.0
General - IT,Information And Communication Technology,6-10,Selangor,8500.0
Engineer,Engineering,1-3,Kedah,4000.0
General - Engineering,Engineering,6-10,Selangor,6500.0
General - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,3800.0
Audit / Internal Audit,Accounting,1-3,Selangor,3350.0
Company Secretary,Accounting,6-10,Johor,4750.0
General - Accounting,Accounting,4-5,Negeri Sembilan,3500.0
General - Engineering,Engineering,Intern/<1,Perak,5000.0
Direct Sales / Advisors / Consultants,Sales,Intern/<1,Selangor,3300.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Melaka,3000.0
Admin / Support,Accounting,1-3,Kuala Lumpur,3050.0
Engineer,Engineering,Intern/<1,Penang,6850.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,4750.0
Engineer,Engineering,4-5,Melaka,6250.0
Financial Planning & Analysis (fp&a),Accounting,6-10,Selangor,11000.0
Engineer,Engineering,4-5,Penang,7500.0
Management / Project Management - Construction,Construction,1-3,Melaka,7500.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,3800.0
Audit / Internal Audit,Accounting,1-3,Sarawak,3125.0
Senior Finance Manager / Head Of Finance,Accounting,4-5,Kuala Lumpur,12500.0
Admin / Support - Ceo And General Management,Ceo And General Management,1-3,Selangor,2250.0
Administrator / Office Executive,Administration And Office Support,Intern/<1,Kuala Lumpur,3400.0
Internship - Administration,Administration And Office Support,1-3,Kuala Lumpur,1050.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,2750.0
Software Developer,Information And Communication Technology,1-3,Selangor,4650.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,2700.0
Operations / Production,Engineering,1-3,Kuala Lumpur,6000.0
Engineer,Engineering,1-3,Kedah,4250.0
General - Accounting,Accounting,4-5,Kuala Lumpur,7500.0
HR Executive,Human Resources And Recruitment,6-10,Selangor,6250.0
Admin / Assistant / Support,Banking And Financial Services,4-5,Kuala Lumpur,6000.0
Management / Project Management - Construction,Construction,1-3,Pahang,9600.0
IT Support / Service Desk,Information And Communication Technology,4-5,Kuala Lumpur,6000.0
HR Admin / Support,Human Resources And Recruitment,1-3,Sarawak,3850.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,10500.0
HR Executive,Human Resources And Recruitment,1-3,Kelantan,1750.0
General - Sales,Sales,1-3,Kuala Lumpur,6000.0
Admin / Support,Accounting,Intern/<1,Perak,2200.0
Engineer,Engineering,1-3,Sarawak,4050.0
HR Business Partner,Human Resources And Recruitment,1-3,Kuala Lumpur,8500.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Melaka,2750.0
General - Accounting,Accounting,1-3,Kedah,3750.0
Internship - Accounting,Accounting,1-3,Penang,900.0
Admin / Support,Accounting,Intern/<1,Kuala Lumpur,2600.0
General - Administration,Administration And Office Support,1-3,Sabah,5000.0
Accountant / Full Set Accounting,Accounting,1-3,Kuala Lumpur,6500.0
General - Administration,Administration And Office Support,1-3,Johor,3150.0
Manager / Middle Management - Ceo And General Management,Ceo And General Management,4-5,Others,6250.0
Consultant,Consulting And Strategy,1-3,Selangor,4500.0
Admin / Support,Engineering,1-3,Penang,4000.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Melaka,3000.0
General - IT,Information And Communication Technology,1-3,Selangor,5625.0
Administrator / Office Executive,Administration And Office Support,1-3,Penang,4150.0
